id,brand,name,city,gu,address,gasoline,diesel,self,car_wash,charging_station,car_maintenance,convenience_store,24_hours,lat,lng
299,SK에너지,한강에너지(주)퍼스트주유소,서울,송파구,서울 송파구 삼학사로 22 (석촌동),1723,1664,1,1,0,1,0,0,37.49931440000000,127.09706620000000
300,현대오일뱅크,(유)호림플러스홀딩스 남성주유소,서울,송파구,서울 송파구 백제고분로 474 (방이동),1723,1684,0,1,0,0,0,0,37.51259170000000,127.11397090000000
301,S-OIL,상아주유소,서울,송파구,서울 송파구 거마로 82,1723,1664,1,1,0,0,0,0,37.50020200000000,127.14787030000000
302,GS칼텍스,지에스칼텍스(주)가든파이브주유소,서울,송파구,서울 송파구 탄천동로 740,1723,1664,1,1,0,0,1,1,37.49729620000000,127.08924730000000
303,SK에너지,방이주유소,서울,송파구,서울 송파구 위례성대로12길 38 (방이동),1723,1664,0,1,0,1,0,0,37.51067440000000,127.12082230000000
304,GS칼텍스,(주)삼표에너지 아시아주유소,서울,송파구,서울 송파구 도곡로 438 (잠실동),1723,1675,1,1,0,0,0,0,37.50459580000000,127.07736930000000
305,현대오일뱅크,HD현대오일뱅크㈜직영 잠실셀프주유소,서울,송파구,서울 송파구 송파대로 397 (석촌동),1723,1665,1,0,0,0,0,1,37.50272770000000,127.10896700000000
306,현대오일뱅크,지에스이앤알 직영 송파제일주유소,서울,송파구,서울 송파구 삼학사로 50 (석촌동),1723,1664,1,1,0,1,0,1,37.50167130000000,127.09733360000000
307,GS칼텍스,삼화주유소,서울,송파구,서울 송파구 백제고분로 125,1723,1664,1,0,0,0,0,1,37.50658820000000,127.08100650000000
308,GS칼텍스,지에스칼텍스(주)스마트위례주유소,서울,송파구,서울 송파구 위례중앙로 43 (장지동),1723,1664,1,1,0,0,0,0,37.47541610000000,127.13215450000000
309,SK에너지,(주)신화에너지 서울지점,서울,송파구,서울 송파구 가락로 47 (석촌동),1723,1669,1,1,0,1,0,1,37.49949020000000,127.10174190000000
310,SK에너지,백제고분로주유소,서울,송파구,서울 송파구 오금로 143 (방이동),1723,1674,1,1,0,1,1,1,37.51223260000000,127.11687660000000
311,SK에너지,(주)유진주유소,서울,송파구,서울 송파구 동남로 325 (오금동),1739,1683,0,1,0,0,0,0,37.50457780000000,127.13843850000000
312,S-OIL,(주)잠실에너지,서울,송파구,서울 송파구 송파대로 442 (송파동),1742,1674,1,1,0,1,0,1,37.50510720000000,127.11354690000000
313,SK에너지,대성주유소,서울,송파구,서울 송파구 마천로 230 (마천동),1758,1678,0,1,0,0,0,0,37.50005400000000,127.14314730000000
314,현대오일뱅크,제트라인DM주유소,서울,송파구,서울 송파구 중대로 183 (가락동),1759,1679,0,0,0,1,0,0,37.49850470000000,127.12543100000000
315,현대오일뱅크,(주)정직한주유소,서울,송파구,서울 송파구 오금로 455 (거여동),1767,1687,1,1,0,0,0,0,37.48972790000000,127.14499120000000
316,GS칼텍스,송파주유소,서울,송파구,서울 송파구 송이로 28 (송파동),1775,1697,1,0,0,1,0,0,37.50884940000000,127.10640090000000
317,GS칼텍스,대성석유(주)석촌주유소,서울,송파구,서울 송파구 백제고분로 289,1777,1677,0,0,0,1,0,0,37.50282420000000,127.09857250000000
318,현대오일뱅크,HD현대오일뱅크㈜직영 올림픽셀프주유소,서울,송파구,서울 송파구 위례성대로 188 (오금동),1778,1732,1,1,0,1,0,1,37.50982500000000,127.13160700000000
319,GS칼텍스,(주)삼표에너지 우리주유소,서울,송파구,서울 송파구 동남로 153,1784,1714,1,1,0,0,0,0,37.49238570000001,127.12735830000000
320,SK에너지,완불주유소,서울,송파구,서울 송파구 송파대로 3 (장지동),1784,1712,1,1,0,0,0,1,37.47110970000000,127.12617080000000
321,GS칼텍스,(주)삼표에너지 훼미리주유소,서울,송파구,서울 송파구 중대로 58 (문정동),1787,1698,0,1,0,0,0,0,37.49123530000000,127.11535330000000
322,S-OIL,(주)퍼스트오일서울주유소,서울,송파구,서울 송파구 문정로 153,1790,1720,0,0,0,0,0,0,37.49321320000000,127.13638400000000
323,SK에너지,대신석유(주)진양주유소,서울,송파구,서울 송파구 올림픽로 499 (풍납동),1978,1878,0,1,0,0,0,0,37.53366830000000,127.12061780000000
324,GS칼텍스,플라트(주)서호주유소,서울,양천구,서울 양천구 남부순환로 317,1634,1589,1,1,0,1,0,0,37.53866090000000,126.82683670000000
325,SK에너지,(주)타이거오일 신정주유소,서울,양천구,서울 양천구 중앙로 226 (신정동),1634,1589,1,0,0,0,0,0,37.51680160000000,126.85466390000000
326,알뜰주유소,양천구주유소,서울,양천구,서울 양천구 국회대로 275 (목동),1635,1614,1,1,0,1,0,1,37.53031490000000,126.86551680000000
327,GS칼텍스,신월주유소,서울,양천구,서울 양천구 신월로 193 (신월동),1637,1589,1,0,0,0,0,0,37.52006060000000,126.84408030000000
328,S-OIL,현대주유소,서울,양천구,서울 양천구 남부순환로 372 (신월동),1637,1595,1,1,0,0,0,0,37.53387270000000,126.82926250000000
329,SK에너지,가로공원주유소,서울,양천구,서울 양천구 가로공원로 165 (신월동),1637,1593,0,1,0,0,0,1,37.53701570000000,126.83428520000000
